emoji_slug_hash,emoji_slug,image_type,filename,file_path,exists
-1366418459132533873,man-in-tuxedo-dark-skin-tone,ms-fluentui,person_in_tuxedo_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-in-tuxedo-dark-skin-tone/person_in_tuxedo_flat_dark.webp,no
6635606130163481430,man-in-tuxedo-light-skin-tone,ms-fluentui,person_in_tuxedo_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-in-tuxedo-light-skin-tone/person_in_tuxedo_flat_light.webp,no
-5794799056625891164,man-in-tuxedo-medium-dark-skin-tone,ms-fluentui,person_in_tuxedo_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-in-tuxedo-medium-dark-skin-tone/person_in_tuxedo_flat_medium-dark.webp,no
537055021780200512,man-in-tuxedo-medium-light-skin-tone,ms-fluentui,person_in_tuxedo_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-in-tuxedo-medium-light-skin-tone/person_in_tuxedo_flat_light.webp,no
-5376760108667735422,man-in-tuxedo-medium-skin-tone,ms-fluentui,person_in_tuxedo_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-in-tuxedo-medium-skin-tone/person_in_tuxedo_flat_medium.webp,no
-7772553397186410396,man-judge,ms-fluentui,man_judge_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-judge/man_judge_high_contrast_default.webp,no
-3951976666336946204,man-judge-dark-skin-tone,ms-fluentui,man_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-judge-dark-skin-tone/man_flat_dark.webp,no
-55712118761796154,man-judge-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-judge-light-skin-tone/man_flat_light.webp,no
20325249807420634,man-judge-medium-dark-skin-tone,ms-fluentui,man_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-judge-medium-dark-skin-tone/man_flat_medium-dark.webp,no
-8902304725375178215,man-judge-medium-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-judge-medium-light-skin-tone/man_flat_light.webp,no
8992672743013666051,man-judge-medium-skin-tone,ms-fluentui,man_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-judge-medium-skin-tone/man_flat_medium.webp,no
3463323528405759695,man-juggling,ms-fluentui,man_juggling_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-juggling/man_juggling_high_contrast_default.webp,no
1809614758606690849,man-juggling-dark-skin-tone,ms-fluentui,person_juggling_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-juggling-dark-skin-tone/person_juggling_flat_dark.webp,no
5234716132476418765,man-juggling-light-skin-tone,ms-fluentui,person_juggling_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-juggling-light-skin-tone/person_juggling_flat_light.webp,no
