emoji_slug_hash,emoji_slug,filename,image_type,emoji_slug_only_hash,reason
-7743295569512293336,man-mechanic,man_mechanic_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-1470198910797549828,man-mechanic-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-2922100771432178628,man-mechanic-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-3252477646308432372,man-mechanic-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
2021040926846410080,man-mechanic-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
2676848799276605574,man-mechanic-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-8900483916623744536,man-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
7843908573446213677,man-medium-dark-skin-tone-blond-hair,person_blonde_hair_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
7689095879212298535,man-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
6585085498835947421,man-medium-light-skin-tone-blond-hair,person_blonde_hair_flat_light.webp,ms-fluentui,,not_found_in_backup_db
7793250883510611860,man-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-5523601355813292940,man-medium-skin-tone-blond-hair,person_blonde_hair_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
4453362486653046868,man-mountain-biking,man_mountain_biking_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-9177182933258608683,man-mountain-biking-dark-skin-tone,person_mountain_biking_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-6595369728305950009,man-mountain-biking-light-skin-tone,person_mountain_biking_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-5271522300594570016,man-mountain-biking-medium-dark-skin-tone,person_mountain_biking_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-1343687390517575404,man-mountain-biking-medium-light-skin-tone,person_mountain_biking_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-8557953381739796739,man-mountain-biking-medium-skin-tone,person_mountain_biking_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
7585133486503020879,man-office-worker,man_office_worker_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-2948646757938997327,man-office-worker-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
4906276247652880556,man-office-worker-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-7936026839919352867,man-office-worker-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
3866148526319121708,man-office-worker-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-7240364082589907879,man-office-worker-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
1207722077368345333,man-pilot,man_pilot_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-243261678355935706,man-pilot-dark-skin-tone,man_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-6313905633234430306,man-pilot-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
3070052418683050365,man-pilot-medium-dark-skin-tone,man_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-2444042666349785253,man-pilot-medium-light-skin-tone,man_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-5990134634061030579,man-pilot-medium-skin-tone,man_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-9038513018677410326,man-playing-handball,man_playing_handball_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-5749616944409830430,man-playing-handball-dark-skin-tone,person_playing_handball_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-4490721384639532607,man-playing-handball-light-skin-tone,person_playing_handball_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-8233383355299981926,man-playing-handball-medium-dark-skin-tone,person_playing_handball_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-2082904625534318624,man-playing-handball-medium-light-skin-tone,person_playing_handball_flat_light.webp,ms-fluentui,,not_found_in_backup_db
3115765473659333379,man-playing-handball-medium-skin-tone,person_playing_handball_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-4960199643619313271,man-playing-water-polo,man_playing_water_polo_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
1191501896828317839,man-playing-water-polo-dark-skin-tone,person_playing_water_polo_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
-6660583605289401141,man-playing-water-polo-light-skin-tone,person_playing_water_polo_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-4030346700384456792,man-playing-water-polo-medium-dark-skin-tone,person_playing_water_polo_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-4307050614606858729,man-playing-water-polo-medium-light-skin-tone,person_playing_water_polo_flat_light.webp,ms-fluentui,,not_found_in_backup_db
5818246853863735028,man-playing-water-polo-medium-skin-tone,person_playing_water_polo_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-3063567777332416901,man-police-officer,man_police_officer_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
976910639311599545,man-police-officer-dark-skin-tone,police_officer_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
157300252947540487,man-police-officer-light-skin-tone,police_officer_flat_light.webp,ms-fluentui,,not_found_in_backup_db
497277101530698934,man-police-officer-medium-dark-skin-tone,police_officer_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
-6027702816298470994,man-police-officer-medium-light-skin-tone,police_officer_flat_light.webp,ms-fluentui,,not_found_in_backup_db
4332369500640285172,man-police-officer-medium-skin-tone,police_officer_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
1974052458310904522,man-pouting,man_pouting_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
547390319410797552,man-pouting-dark-skin-tone,person_pouting_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
5519648783249346724,man-pouting-light-skin-tone,person_pouting_flat_light.webp,ms-fluentui,,not_found_in_backup_db
2401276898633908202,man-pouting-medium-dark-skin-tone,person_pouting_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
6044653332182126095,man-pouting-medium-light-skin-tone,person_pouting_flat_light.webp,ms-fluentui,,not_found_in_backup_db
